Base,"Schools should not sell junk food on campus, but ... ",,arg0 (actor),verb1,arg1 (Object),arg2,verb2,arg0,arg1,arg2,verb3,arg0,arg1,arg2,Primary Verb,arg0 (agent),arg1 (patient) ,arg2 (beneficiary),verb5,arg0,arg1,arg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could allow healthier alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (could),they,healthier alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it does allow students to make choices .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (does),it,students to make choices,-,make,students,choices,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but might allow some junk food on special occasions .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (might),Schools,some junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should allow healthy snack alternatives to be sold .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),they,healthy snack alternatives to be sold,-,be,-,-,-,sold,-,healthy snack alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should allow kids to bring their own if they want .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),they,kids to bring their own if they want,-,bring,kids,their own,-,want,they,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should allow kids to bring their own snacks including junk food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),they,kids to bring their own snacks including junk food,-,bring,kids,their own snacks including junk food,-,including,-,junk food,their own snacks,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but they should allow students to bring whatever food they wish to consume from home , as long as the school makes an effort to educate students about the risks of unhealthy eating habits .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),they,students to bring whatever food they wish to consume from home,-,bring,students,whatever food they wish to consume from home,-,wish,they,to consume from home,-,consume,they,whatever food,from home,makes,the school,an effort to educate students about the risks of unhealthy eating habits,-,educate,the school,students,about the risks of unhealthy eating habits,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should allow students to choose what they eat by bringing their own snacks if they want .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),they,students to choose what they eat by bringing their own snacks if they want,-,choose,students,what they eat,-,eat,they,what,-,bringing,-,their own snacks,-,want,they,-,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should allow students to purchase healthier snack options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),they,students to purchase healthier snack options,-,purchase,students,healthier snack options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead should allow healthier options to be sold on campus .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),Schools,healthier options to be sold on campus,-,be,-,-,-,sold,-,healthier options,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should allow children to bring it in their lunch boxes if their parents send it in their lunch .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),Schools,children to bring it in their lunch boxes,-,bring,children,it,in their lunch boxes,send,their parents,it,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should allow for healthy food to be available .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),Schools,for healthy food to be available,-,be,-,healthy food,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should allow healthy food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),Schools,healthy food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should allow kids to bring it from home .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),Schools,kids to bring it from home,-,bring,kids,it,from home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should allow kids to have a say in selecting their own foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),Schools,kids to have a say in selecting their own foods,-,have,kids,a say in selecting their own foods,-,selecting,kids,their own foods,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should allow nutritious food to be sold,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),Schools,nutritious food to be sold,-,be,-,-,-,sold,-,nutritious food,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should allow sweets for special occasions .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),Schools,sweets for special occasions,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should instead allow healthy food to be sold on campus .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (should),Schools,healthy food to be sold on campus,-,be,-,-,-,sold,-,healthy food,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but allowed to bring healthier food to the school .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allowed,-,to bring healthier food to the school,-,bring,Schools,healthier food,to the school,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but healthy foods only allowed for students .,,allow (should),Schools,junk food to be sold on campus but healthy foods only allowed for students,-,be,-,-,-,sold,-,junk food,-,allowed,-,healthy foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but certain snacks are alright .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,certain snacks,alright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but here schools are , still selling this junk food that only promotes poor eating habits which could lead to a lot of health complications .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,-,-,selling,schools,this junk food that only promotes poor eating habits which could lead to a lot of health complications,-,promotes,this junk food,poor eating habits which could lead to a lot of health complications,-,lead (could),poor eating habits,-,to a lot of health complications,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but if they are going to , they should put healthier junk food snacks in the vending machines for purchase .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,-,-,going,-,-,-,put (should),they,healthier junk food snacks,in the vending machines,vending,machines,-,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but in the long run , a person 's health choices are personal , and government institutions should not be able to dictate such choices .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,a person 's health choices,personal,be (should),-,government institutions,able to dictate such choices,dictate,government institutions,such choices,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids are fond of junk foods .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,kids,fond of junk foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids are going to find a way to get what they want .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,-,-,going,-,-,-,find,kids,a way to get what they want,-,get,kids,what they want,-,want,they,what,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but only if there are more nutritional foods being offered to the students so that they can make a healthy choice decision .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,more nutritional foods being offered to the students,-,being,-,-,-,offered,-,more nutritional foods,-,make (can),they,a healthy choice decision,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students are free to bring anything they want from home .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,students,free to bring anything they want from home,bring,students,anything they want from home,-,want,they,anything,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there are plenty of other foods schools can sell for fundraising such as popcorn .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,plenty of other foods schools can sell for fundraising such as popcorn,-,sell (can),schools,other foods,-,fundraising,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they are allowed to bring it themselves .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,-,-,allowed,-,to bring it themselves,-,bring,they,it,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but treats from time to time are ok and should be allowed , i.e. an ice cream social or pizza party .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,are,-,treats from time to time,ok,be (should),-,-,-,allowed,-,treats from time to,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but They argue that students should have a choice about what they eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,argue,They,that students should have a choice about what they eat,-,have (should),students,a choice about what they eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but some argue that students should be allowed to choose what they eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,argue,some,that students should be allowed to choose what they eat,-,be (should),-,-,-,allowed,-,to choose what they eat,-,choose,students,what they eat,-,eat,they,what,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should not ban candy companies from advertising in schools if it provides funding .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,ban (should),they,candy companies,from advertising in schools,advertising,candy companies,-,-,provides,it,funding,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should not ban it .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,ban (should),Schools,it,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but be allowed to sell healthier alternative snacks and food .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be,-,-,-,allowed,-,to sell healthier alternative snacks and food,-,sell,Schools,healthier alternative snacks and food,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but All food , ANY FOOD , can be a part of a healthy diet",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (can),-,"All food , ANY FOOD",a part of a healthy diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but healthier alternatives can be made available to the students .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (can),-,-,-,made,-,available to the students,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but in some cases junk food can be sold once a month .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (can),-,-,-,sold,-,junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it can be easily replaced with good food,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (can),-,-,-,replaced,-,it,with good food,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but other healthy food can be allowed .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (can),-,-,-,allowed,-,other healthy food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but students can be told where they can buy the food at instead ( i.e. , at grocery stores / convenience stores ) .",modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (can),-,-,-,told,-,"where they can buy the food at instead ( i.e. , at grocery stores / convenience stores )",students,buy (can),they,the food,at,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can be selling healthy food instead,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (can),-,-,-,selling,they,healthy food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it could be limited .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (could),-,it,limited,limited,-,it,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but It could potentially be sold in moderation and let kids make their own choices .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (could),-,-,-,sold,-,It,-,let,-,kids make their own choices,-,make,kids,their own choices,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but on special occasions and in limited amounts it could potentially be acceptable such as Valentines , Halloween , and like occasions .",modal,allow (should),Schools,"junk food to be sold on campus but on special occasions and in limited amounts it could potentially be acceptable such as Valentines , Halloween , and like occasions",-,be,-,-,-,sold,-,junk food,-,be (could),-,it,acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there could be an argument for teaching kids to make decisions in the face of temptation by allowing the food to remain .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (could),-,an argument for teaching kids to make decisions in the face of temptation by allowing the food to remain,-,make,kids,decisions,-,allowing,-,the food to remain,-,remain,-,the food,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there could be certain times or events where some junk food may be purchased .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (could),-,certain times or events where some junk food may be purchased,-,be (may),-,-,-,purchased,-,some junk food,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there could be healthy alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (could),-,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there could be special events monthly where parents are advised that there will be treats sold for a fundraiser or other school event .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (could),-,special events,-,are,-,-,-,advised,-,that there will be treats sold for a fundraiser or other school event,parents,be (will),-,treats sold for a fundraiser or other school event,-,sold,-,treats,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it may be possible to offer healthier snack choices instead of junk food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (may),-,to offer healthier snack choices instead of junk food,possible,offer,-,healthier snack choices instead of junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students may be allowed to bring one serving of such with parental approval and no trading off with other students .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (may),-,-,-,allowed,-,to bring one serving of such with parental approval and no trading off with other students,-,bring,students,one serving of such with parental approval and no trading off with other students,-,serving,one,of such with parental approval,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but serious consideration must be made in choosing replacements for it .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (must),-,-,-,made,-,serious consideration,-,choosing,-,replacements for it,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but children need to be exposed to healthy eating,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (need),-,-,-,exposed,-,children,to healthy eating,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but a slight compromise should be sought to make everyone happy .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,sought,-,a slight compromise,-,make,-,everyone happy,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but an alternative should be offered as children need nutrition .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,offered,-,an alternative,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but any kind of sweets should be part of an overall balanced meal such as served in a Cafeteria .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,any kind of sweets,part of an overall balanced meal such as served in a Cafeteria,balanced,-,meal,-,served,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but at the same time , freedom of choice should be promoted ; Children should not feel like they are being forced to live a certain way , otherwise many would question the authority figures intentions .",modal modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,promoted,-,freedom of choice,-,feel (should),Children,like they are being forced to live a certain way,-,are,-,-,-,being,-,-,-,forced,-,they,to live a certain way,live,they,-,-,question (would),many,the authority figures intentions,-,figures,-,authority,-
"Schools should not sell junk food on campus, ",but children should be allowed to choose to bring with them whatever foods or snacks they please .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to choose to bring with them whatever foods or snacks they please,children,choose,children,to bring with them whatever foods or snacks they please,-,bring,children,whatever foods or snacks they please,-,please,they,whatever foods or snacks,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but children should be allowed to chose what they eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to chose what they eat,-,chose,children,what they eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but healthier alternatives should be provided,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,provided,-,healthier alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but healthy options should be offered,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,offered,-,healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but healthy snacks like low sugar yogurt and fruit SHOULD be sold .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,sold,-,healthy snacks like low sugar yogurt and fruit,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but healthy snacks should be added to school vending machines as part of an initiative aimed at changing kids ' eating and fitness habits .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,added,-,healthy snacks,to school vending machines,vending,machines,school,-,aimed,-,an initiative,at changing kids ' eating and fitness habits,changing,-,kids ' eating and fitness habits,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but healthy snacks should be .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead healthier options should be made available .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,made,-,available,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but instead should be able to make up the revenue with healthier snack options , as students will gravitate towards these options when less healthy snacks are unavailable .",modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,Schools,able to make up the revenue with healthier snack options,make,Schools,the revenue,-,gravitate (will),students,towards these options,-,are,-,less healthy snacks,unavailable,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it should be allowed to be sold off - campus and they can bring their junk food onsite if desired .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to be sold off - campus,-,be,-,-,-,sold,-,it,-,bring (can),they,their junk food,-,desired,-,-,-,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it should be noted that every child has their own personal decision of what they want to eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,noted,-,that every child has their own personal decision of what they want to eat,-,has,every child,their own personal decision of what they want to eat,-,want,they,to eat,-,eat,they,what,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it should be the child 's choice of what they eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,it,the child 's choice of what they eat,eat,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it should be the choice of the child or parent if they want them eating that .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,it,the choice of the child or parent,want,they,them eating that,-,eating,them,that,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it should ultimately be up to the individual or their guardian to decide what they want to eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,to decide what they want to eat,up to the individual or their guardian,decide,the individual or their guardian,what they want to eat,-,want,they,to eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids should be able to bring it if they choose to eat it,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,kids,able to bring it if they choose to eat it,bring,kids,it,-,choose,they,to eat it,-,eat,they,it,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids should be able to bring junk food from home if that is what they and their parents want .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,kids,able to bring junk food from home if that is what they and their parents want,bring,kids,junk food,from home,is,-,that,what they and their parents want,want,they and their parents,what,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids should be able to choose .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,kids,able to choose,choose,kids,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids should be allowed to bring it on site to eat themselves .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,be (should),-,-,-,allowed,-,to bring it on site to eat themselves,-,bring,kids,it,on site,eat,kids,-,-,,,,,,,,,,,,,,,,,,,,
